DATE,GCEC1
2014-01-01,3020.848
2014-04-01,3024.639
2014-07-01,3044.883
2014-10-01,3043.414
2015-01-01,3059.01
2015-04-01,3089.344
2015-07-01,3105.189
2015-10-01,3113.59
2016-01-01,3142.985
2016-04-01,3137.504
2016-07-01,3151.01
2016-10-01,3159.323
2017-01-01,3157.328
2017-04-01,3167.978
2017-07-01,3167.117
2017-10-01,3186.102
2018-01-01,3201.129
2018-04-01,3221.413
2018-07-01,3237.97
2018-10-01,3234.945
2019-01-01,3258.143
2019-04-01,3296.55
2019-07-01,3310.369
2019-10-01,3331.058
2020-01-01,3340.165
