DATE,CLF16OV
2002-01-01,143883
2002-02-01,144653
2002-03-01,144481
2002-04-01,144725
2002-05-01,144938
2002-06-01,144808
2002-07-01,144803
2002-08-01,145009
2002-09-01,145552
2002-10-01,145314
2002-11-01,145041
2002-12-01,145066
2003-01-01,145937
2003-02-01,146100
2003-03-01,146022
2003-04-01,146474
2003-05-01,146500
2003-06-01,147056
2003-07-01,146485
2003-08-01,146445
2003-09-01,146530
2003-10-01,146716
2003-11-01,147000
2003-12-01,146729
2004-01-01,146842
2004-02-01,146709
2004-03-01,146944
2004-04-01,146850
2004-05-01,147065
2004-06-01,147460
2004-07-01,147692
2004-08-01,147564
2004-09-01,147415
2004-10-01,147793
2004-11-01,148162
2004-12-01,148059
2005-01-01,148029
2005-02-01,148364
2005-03-01,148391
2005-04-01,148926
2005-05-01,149261
2005-06-01,149238
2005-07-01,149432
2005-08-01,149779
2005-09-01,149954
2005-10-01,150001
2005-11-01,150065
2005-12-01,150030
2006-01-01,150214
2006-02-01,150641
2006-03-01,150813
2006-04-01,150881
2006-05-01,151069
2006-06-01,151354
2006-07-01,151377
2006-08-01,151716
2006-09-01,151662
2006-10-01,152041
2006-11-01,152406
2006-12-01,152732
2007-01-01,153144
2007-02-01,152983
2007-03-01,153051
2007-04-01,152435
2007-05-01,152670
2007-06-01,153041
2007-07-01,153054
2007-08-01,152749
2007-09-01,153414
2007-10-01,153183
2007-11-01,153835
2007-12-01,153918
2008-01-01,154063
2008-02-01,153653
2008-03-01,153908
2008-04-01,153769
2008-05-01,154303
2008-06-01,154313
2008-07-01,154469
2008-08-01,154641
2008-09-01,154570
2008-10-01,154876
2008-11-01,154639
2008-12-01,154655
2009-01-01,154210
2009-02-01,154538
2009-03-01,154133
2009-04-01,154509
2009-05-01,154747
2009-06-01,154716
2009-07-01,154502
2009-08-01,154307
2009-09-01,153827
2009-10-01,153784
2009-11-01,153878
2009-12-01,153111
2010-01-01,153484
2010-02-01,153694
2010-03-01,153954
2010-04-01,154622
2010-05-01,154091
2010-06-01,153616
2010-07-01,153691
2010-08-01,154086
2010-09-01,153975
2010-10-01,153635
2010-11-01,154125
2010-12-01,153650
2011-01-01,153263
2011-02-01,153214
2011-03-01,153376
2011-04-01,153543
2011-05-01,153479
2011-06-01,153346
2011-07-01,153288
2011-08-01,153760
2011-09-01,154131
2011-10-01,153961
2011-11-01,154128
2011-12-01,153995
2012-01-01,154381
2012-02-01,154671
2012-03-01,154749
2012-04-01,154545
2012-05-01,154866
2012-06-01,155083
2012-07-01,154948
2012-08-01,154763
2012-09-01,155160
2012-10-01,155554
2012-11-01,155338
2012-12-01,155628
2013-01-01,155763
2013-02-01,155312
2013-03-01,155005
2013-04-01,155394
2013-05-01,155536
2013-06-01,155749
2013-07-01,155599
2013-08-01,155605
2013-09-01,155687
2013-10-01,154673
2013-11-01,155265
2013-12-01,155182
2014-01-01,155352
2014-02-01,155483
2014-03-01,156028
2014-04-01,155369
2014-05-01,155684
2014-06-01,155707
2014-07-01,156007
2014-08-01,156130
2014-09-01,156040
2014-10-01,156417
2014-11-01,156494
2014-12-01,156332
2015-01-01,157030
2015-02-01,156644
2015-03-01,156643
2015-04-01,157060
2015-05-01,157651
2015-06-01,157062
2015-07-01,156997
2015-08-01,157172
2015-09-01,156733
2015-10-01,157167
2015-11-01,157463
2015-12-01,158035
2016-01-01,158342
2016-02-01,158653
2016-03-01,159103
2016-04-01,158981
2016-05-01,158787
2016-06-01,158973
2016-07-01,159123
2016-08-01,159579
2016-09-01,159817
2016-10-01,159734
2016-11-01,159551
2016-12-01,159710
2017-01-01,159647
2017-02-01,159767
2017-03-01,160066
2017-04-01,160309
2017-05-01,160060
2017-06-01,160232
