DATE,RTFPNAUSA632NRUG
1954-01-01,0.6673439741134644
1955-01-01,0.6890666484832764
1956-01-01,0.6849901080131531
1957-01-01,0.6924686431884766
1958-01-01,0.6937217712402344
1959-01-01,0.7134325504302979
1960-01-01,0.7171788215637207
1961-01-01,0.7239829897880554
1962-01-01,0.7400988936424255
1963-01-01,0.7509473562240601
1964-01-01,0.763031542301178
1965-01-01,0.7751312255859375
1966-01-01,0.786937415599823
1967-01-01,0.7833743691444397
1968-01-01,0.7937018871307373
1969-01-01,0.7881810069084167
1970-01-01,0.7837820649147034
1971-01-01,0.7959335446357727
1972-01-01,0.8044040203094482
1973-01-01,0.8117074966430664
1974-01-01,0.78623366355896
1975-01-01,0.7848397493362427
1976-01-01,0.7977485656738281
1977-01-01,0.800791323184967
1978-01-01,0.803752601146698
1979-01-01,0.7967252135276794
1980-01-01,0.7824848294258118
1981-01-01,0.789386510848999
1982-01-01,0.7754124402999878
1983-01-01,0.7942934036254883
1984-01-01,0.8143515586853027
1985-01-01,0.8235695362091064
1986-01-01,0.8346980214118958
1987-01-01,0.8370075821876526
1988-01-01,0.8467769026756287
1989-01-01,0.8529627323150635
1990-01-01,0.8579479455947876
1991-01-01,0.8563082814216614
1992-01-01,0.878309428691864
1993-01-01,0.8803550601005554
1994-01-01,0.8862240314483643
1995-01-01,0.8849611282348633
1996-01-01,0.8931048512458801
1997-01-01,0.9011856317520142
1998-01-01,0.9098034501075745
1999-01-01,0.922143816947937
2000-01-01,0.9311214685440063
2001-01-01,0.9323282241821289
2002-01-01,0.9446656107902527
2003-01-01,0.9625232219696045
2004-01-01,0.9788535833358765
2005-01-01,0.9896705746650696
2006-01-01,0.9901792407035828
2007-01-01,0.9885022640228271
2008-01-01,0.9821529388427734
2009-01-01,0.9836327433586121
2010-01-01,1.0008264780044556
2011-01-01,1
2012-01-01,1.0041050910949707
2013-01-01,1.0075238943099976
2014-01-01,1.0131020545959473
2015-01-01,1.0215619802474976
2016-01-01,1.0220723152160645
2017-01-01,1.0305346250534058
