DATE,LFWA64TTUSM647S
2016-04-01,205291533.92695302
2016-05-01,205420799.833399
2016-06-01,205495865.729617
2016-07-01,205614461.62807602
2016-08-01,205666214.53765202
2016-09-01,205713525.788549
2016-10-01,205812068.99715897
2016-11-01,205847723.058763
2016-12-01,205884300.510314
2017-01-01,205381806.67251402
2017-02-01,205406489.590042
2017-03-01,205288265.847082
2017-04-01,205316273.81328902
2017-05-01,205460535.49382502
2017-06-01,205573745.851177
2017-07-01,205682666.991377
2017-08-01,205684912.686764
2017-09-01,205677393.041001
2017-10-01,205681318.77416098
2017-11-01,205692135.84817898
2017-12-01,205760903.91111
2018-01-01,206351979.16177
2018-02-01,206349000.99793002
2018-03-01,206256836.18972102
2018-04-01,206314390.590514
2018-05-01,206475689.37121397
2018-06-01,206556186.54222998
2018-07-01,206593399.737605
2018-08-01,206609583.894028
2018-09-01,206648546.418259
2018-10-01,206646742.70628402
2018-11-01,206635816.241508
2018-12-01,206708949.385777
2019-01-01,206227243.92103702
2019-02-01,206237064.876421
2019-03-01,206155353.36870798
2019-04-01,206140872.336925
2019-05-01,206400314.684066
2019-06-01,206464832.69063902
2019-07-01,206351065.49667102
2019-08-01,206343102.628607
2019-09-01,206260258.893754
2019-10-01,206240196.89044002
2019-11-01,206232779.31602898
2019-12-01,206274611.07097
2020-01-01,205810316.223367
2020-02-01,205741511.26747
2020-03-01,205519857.559286
2020-04-01,205765626.275877
2020-05-01,206373048.9158
