labobs
robs
pinfobs
dy
dc
dinve
dw
ewma
epinfma
zcapf
rkf
kf
pkf
cf
invef
yf
labf
wf
rrf
mc
zcap
rk
k
pk
c
inve
y
lab
pinf
w
r
a
b
g
qs
ms
spinf
sw
kpf
kp
ea
eb
eg
eqs
em
epinf
ew
