,aic,bic,controls,endo_states,exo_states,loglik,max_pval,mean_pval,min_pval,mse,nendo,nexo,nstates,total_valid,true_index,true_valid,valid
532,-56569.842998474276,-56137.384747600256,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'w_real', 'mu']",['p'],"['nu', 'a', 'z']",28450.921499237138,1.0,0.984336823896086,0.20089116661490772,2.0461299976261085,1.0,3.0,4.0,10.0,0.0,1.0,1.0
533,-55850.554449553245,-55418.096198679224,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'w_real', 'mu']",['p'],"['nu', 'a', 'z']",28091.277224776622,1.0,0.9772647396166227,0.00803916933441699,1.9379247014651955,1.0,3.0,4.0,10.0,0.0,1.0,1.0
534,-55460.89033886889,-55028.43208799487,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'w_real', 'mu']",['p'],"['nu', 'a', 'z']",27896.445169434446,1.0,0.9798803736574994,0.021457915643851078,2.1402034516128117,1.0,3.0,4.0,10.0,0.0,1.0,1.0
535,-56523.473059559714,-56091.01480868569,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'w_real', 'mu']",['p'],"['nu', 'a', 'z']",28427.736529779857,1.0,0.9793274125052746,0.09603411727481304,2.2310058403476964,1.0,3.0,4.0,8.0,0.0,1.0,1.0
536,-56893.324501555566,-56460.866250681545,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'w_real', 'mu']",['p'],"['nu', 'a', 'z']",28612.662250777783,1.0,0.9812567807371873,0.14481792142884817,2.3047529268816014,1.0,3.0,4.0,18.0,0.0,1.0,1.0
537,-56823.40381508804,-56390.94556421402,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'z', 'w_real']",['p'],"['nu', 'a', 'mu']",28577.70190754402,1.0,0.9772087934617824,0.009870648778230521,29.129911304619228,1.0,3.0,4.0,20.0,1.0,1.0,1.0
538,-56869.652608882025,-56437.194358008004,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'z', 'mu']",['p'],"['nu', 'a', 'w_real']",28600.826304441012,1.0,0.976177322013558,0.015453442081098116,26.391559942312842,1.0,3.0,4.0,16.0,1.0,1.0,1.0
539,-56188.819637974404,-55756.36138710038,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'w_real', 'mu']",['p'],"['nu', 'a', 'z']",28260.409818987202,1.0,0.9838995337324367,0.3120329593661575,2.059070963416801,1.0,3.0,4.0,16.0,0.0,1.0,1.0
540,-56614.41736746457,-56181.95911659055,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'w_real', 'mu']",['p'],"['nu', 'a', 'z']",28473.208683732286,1.0,0.9739153463393757,0.012788053287406004,2.082052764331888,1.0,3.0,4.0,18.0,0.0,1.0,1.0
541,-56712.43327361737,-56279.97502274335,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'w_real', 'mu']",['p'],"['nu', 'a', 'z']",28522.216636808684,1.0,0.9776664048342392,0.0413551718609488,1.8534638280410718,1.0,3.0,4.0,16.0,0.0,1.0,1.0
542,-55700.20496540155,-55267.74671452753,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'w_real', 'mu']",['p'],"['nu', 'a', 'z']",28016.102482700775,1.0,0.9789415509626285,0.027560061616012644,1.8053065097181138,1.0,3.0,4.0,4.0,0.0,1.0,1.0
543,-55967.537282929996,-55535.079032055975,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'w_real', 'mu']",['p'],"['nu', 'a', 'z']",28149.768641464998,1.0,0.9778157693342443,0.014484530829964535,1.9329443735967957,1.0,3.0,4.0,14.0,0.0,1.0,1.0
544,-56678.74668209651,-56246.28843122249,"['pi', 'y', 'r_real', 'i', 'n', 'a', 'z', 'w_real', 'mu']",['p'],"['r_nat', 'm_real', 'nu']",28505.373341048256,1.0,0.9752874077426009,0.0003826089681374012,5.3003140747143025,1.0,3.0,4.0,16.0,2.0,1.0,1.0
545,-56802.898852568665,-56370.440601694645,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'z', 'mu']",['p'],"['nu', 'a', 'w_real']",28567.449426284333,1.0,0.9693557361719813,0.0014383196410460701,18.880129185095214,1.0,3.0,4.0,14.0,1.0,1.0,1.0
546,-56891.919957622165,-56459.461706748145,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'z', 'w_real']",['p'],"['nu', 'a', 'mu']",28611.959978811083,1.0,0.9719901826195134,0.0005416887829739621,27.21316383739799,1.0,3.0,4.0,16.0,1.0,1.0,1.0
547,-55945.85770866248,-55513.39945778846,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'w_real', 'mu']",['p'],"['nu', 'a', 'z']",28138.92885433124,1.0,0.9805076599840811,0.0042694855423952086,2.30794671874127,1.0,3.0,4.0,9.0,0.0,1.0,1.0
548,-56238.04921811249,-55805.590967238466,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'w_real', 'mu']",['p'],"['nu', 'a', 'z']",28285.024609056243,1.0,0.991336011514946,0.2801336598315267,2.007276997169812,1.0,3.0,4.0,10.0,0.0,1.0,1.0
549,-55598.30970274646,-55165.85145187244,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'a', 'w_real', 'mu']",['p'],"['m_real', 'nu', 'z']",27965.15485137323,1.0,0.9808781578469541,0.006203388713700529,6.7254255940763175,1.0,3.0,4.0,12.0,1.0,1.0,1.0
550,-56412.60515598775,-55980.14690511373,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'w_real', 'mu']",['p'],"['nu', 'a', 'z']",28372.302577993876,1.0,0.9839589756649693,0.07149151565070662,2.142164686481819,1.0,3.0,4.0,12.0,0.0,1.0,1.0
551,-56226.10825426593,-55793.65000339191,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'z', 'w_real']",['p'],"['nu', 'a', 'mu']",28279.054127132964,1.0,0.9756259974388642,0.0006731857154137003,28.779351541356068,1.0,3.0,4.0,23.0,2.0,1.0,1.0
552,-56573.68944559157,-56141.23119471755,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'w_real', 'mu']",['p'],"['nu', 'a', 'z']",28452.844722795784,1.0,0.9808318788351317,0.05220873303914916,2.153900687321009,1.0,3.0,4.0,14.0,0.0,1.0,1.0
553,-56035.36385324873,-55602.90560237471,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'w_real', 'mu']",['p'],"['nu', 'a', 'z']",28183.681926624366,1.0,0.9829869625970105,0.03215245057879187,2.1142638880351923,1.0,3.0,4.0,4.0,0.0,1.0,1.0
554,-55861.69610186041,-55429.23785098639,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'w_real', 'mu']",['p'],"['nu', 'a', 'z']",28096.848050930206,1.0,0.9802174281325264,0.11412628249677662,1.941194135603524,1.0,3.0,4.0,4.0,0.0,1.0,1.0
555,-55814.51029192984,-55382.05204105582,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'w_real', 'mu']",['p'],"['nu', 'a', 'z']",28073.25514596492,1.0,0.9875135491236433,0.44959817874663377,2.211718303820608,1.0,3.0,4.0,8.0,0.0,1.0,1.0
556,-55732.773694306365,-55300.315443432344,"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'w_real', 'mu']",['p'],"['nu', 'a', 'z']",28032.386847153182,1.0,0.9723441964074618,0.030135047676953252,1.880713799581264,1.0,3.0,4.0,10.0,0.0,1.0,1.0
