,a,e,z,x,pihat,yhat,ghat,rhat,gobs,robs,piobs,r_annual,pi_annual,eps_a,eps_e,eps_z,eps_r
0,-0.03699006312652081,0.0001527675224858209,-0.0037293066875154204,-0.002561442722129249,-0.001429801906960064,-0.004710565389780107,-0.00843987207729553,-0.002905679592392242,-0.00843987207729553,-0.002905679592392242,-0.001429801906960064,-0.01162271836956897,-0.005719207627840256,-0.03699006312652081,0.00015276752248582142,-0.0037293066875154204,0.001412933793687725
1,-0.01603034673028795,0.0002595360085313374,-0.005358881126993638,0.002863731540014775,-0.0007191636841281588,0.001932368394985032,0.0012840526577714971,-0.002320535398962355,0.001284052657771499,-0.002320535398962355,-0.0007191636841281588,-0.00928214159584942,-0.0028766547365126354,0.01743826238658809,0.0001081892240046355,-0.005358881126993633,-0.00011897317548211521
2,-0.008950959757989114,0.0002439467073811147,-0.00310730743598363,0.0024043356383455033,-0.000809137804190396,0.00188428487640633,-0.003155390954562333,-0.001659031360197166,-0.003155390954562333,-0.001659031360197166,-0.000809137804190396,-0.006636125440788661,-0.0032365512167615838,0.00555329796357543,-1.317561627088062e-05,-0.0031073074359836282,0.0018261744172895398
3,-0.01123819317228057,0.00021893103853014382,0.004208798504692903,0.0049923575675587355,0.0001216420767160533,0.004339418544249231,0.006663932172535801,-0.002155871715014696,0.006663932172535803,-0.002155871715014696,0.0001216420767160531,-0.008623486860058786,0.0004865683068642126,-0.0031393647832520127,-2.274696447232597e-05,0.0042087985046929035,-0.004008520263674346
4,0.009928861489145692,0.00020223569693751968,0.006739390899395992,0.004803659519936543,2.452760981944759e-06,0.005380526372455905,0.007780498727602662,-0.0004258198300133745,0.007780498727602662,-0.0004258198300133745,2.452760981944705e-06,-0.001703279320053498,9.811043927778818e-06,0.02009717867142515,-1.465928293429329e-05,0.006739390899395994,-0.0021464991331224532
5,0.0033279728014701,4.513836140716734e-05,0.004735659005885411,0.0007782316300256956,-9.372589219499536e-05,0.0009715868497911123,0.000326719483220619,3.5305062912264504e-05,0.0003267194832206183,3.5305062912264504e-05,-9.372589219499532e-05,0.00014122025164905802,-0.0003749035687799812,-0.005655661073908926,-0.0001552165435488334,0.00473565900588541,0.0002392588958866087
6,-0.0039710381092870365,0.0002188266758629735,0.008514952583340125,-0.0004577149948677468,-0.001516768539867652,-0.0006884323090173227,0.006854933424531691,-0.0007865519000051289,0.0068549334245316925,-0.0007865519000051289,-0.001516768539867652,-0.003146207600020516,-0.006067074159470609,-0.006982187900057184,0.0001741081012168929,0.008514952583340125,-0.002874321821367984
7,0.02393426786854322,-0.000158976842708479,0.0009501977761819703,-0.00456659368060254,-0.0004898353078797934,-0.003176012717440181,-0.001537382632240889,0.002941265687159189,-0.001537382632240889,0.002941265687159189,-0.0004898353078797934,0.01176506274863676,-0.001959341231519173,0.02752726314982613,-0.00037576843048592714,0.0009501977761819708,0.005281306034329701
8,-0.0347226476516477,8.148532997937199e-05,0.01072733061336011,-0.014939353432135491,-0.004574947905317278,-0.01695673926069621,-0.003053395929895922,-0.0007370229652322737,-0.003053395929895923,-0.0007370229652322737,-0.004574947905317278,-0.002948091860929095,-0.01829979162126911,-0.05637837321910561,0.00023898368805066168,0.0107273306133601,0.0017705000537181872
9,-0.02018277477026042,4.8714261406469e-06,0.0069826472646226465,-0.01108554112035427,-0.003080459603661542,-0.01225816033450642,0.01168122619081244,2.8847511307476207e-05,0.01168122619081244,2.8847511307476207e-05,-0.003080459603661542,0.00011539004522990479,-0.01232183841464617,0.01123427682495043,-7.58560902699168e-05,0.0069826472646226535,-0.0008354409109398199
10,-0.0495183803079164,-0.0001991391550207663,0.0019506869155890558,-0.01574381895596341,-0.002871063427783026,-0.01862083685185336,-0.004411989601757888,-0.0010851055701098901,-0.004411989601757889,-0.0010851055701098901,-0.002871063427783026,-0.00434042228043956,-0.0114842537111321,-0.03125700569578477,-0.0002039652768983048,0.001950686915589059,0.004347175577376029
11,-0.00517371655668209,8.268494667467634e-05,0.0006086103724285883,-0.00825462725111013,-0.0028858713772154463,-0.008555220183053377,0.01067422704122857,0.0005989862361498867,0.01067422704122857,0.0005989862361498867,-0.0028858713772154463,0.0023959449445995467,-0.01154348550886179,0.03963051394592068,0.0002799721075537496,0.0006086103724285942,-6.190888030162099e-05
