,c,w,pi,a,n,i,r,y,q,z,s,pi_star,x_aux_1,x_aux_2,mc,m,i_ann,pi_ann,r_real_ann,p,log_m_nominal,log_y,log_w,log_n,log_p,log_a,log_z,money_growth,money_growth_ann,eps_a,eps_z,eps_m
153,0.8469594115119214,0.08288378621893168,0.985433980051304,1.006304836805864,0.7909521124954628,0.9866453020564852,0.9813098469429796,0.8469594115119188,1.012988939454451,0.7920087217286431,0.9999999999999979,0.956301940153912,3.247196893477363,4.331901318305148,0.06888942717475166,0.8955918883396208,-0.05268326044231275,-0.05826407979478426,-0.07381166269179536,-4.573321421092361,-5.683358174136691,-0.1596907260112048,-1.2663278114583478,-0.2213274170894292,-5.573321421092361,0.006304836805863828,-0.2079912782713569,0.02812070755284024,0.1124828302113611,0.1471648438976675,0.1534536240561892,0.1226472874926031
154,1.071307588575506,1.9624076789540992,1.282834176326528,0.8619101780827686,1.265017471231563,1.0512208536782521,0.8090758224194314,1.071307588575504,0.9496984413099444,0.5037219226492786,0.9999999999999992,1.848502528979584,26.26075321698375,16.36272555971514,2.774002931700875,0.8910125914463342,0.2030359239798831,1.131336705306112,-0.7558583998050461,-4.290487244765832,-5.405527401277188,0.07632120183968433,1.5057280268857818,0.2858813650092193,-5.290487244765832,-0.1380898219172314,-0.4962780773507214,0.2778307728595029,1.111323091438012,-0.1431336913619225,0.3922824382150438,0.2553342068172307
155,1.6402745492745343,5.152330806359523,1.711099053813788,0.8445306322110325,2.032589795167793,1.226099055490394,0.6548745692626861,1.640274549274535,0.7783003157138382,0.5049551708192521,1.000000000000002,3.1332971614413636,59.62958910387973,33.94469105928042,7.153926967315253,0.8414519546367996,0.8955536031559667,2.844396215255153,-1.366495362305758,-3.579388190952044,-4.74857898845032,0.6748684734762166,6.210454081910792,1.107117121686916,-4.579388190952044,-0.1554693677889675,-0.4950448291807479,0.6569484128269032,2.627793651307613,-0.0449975102551823,0.24690579050538897,0.4346837945393008
156,1.4025085266364181,4.347740505488108,1.5406444263524588,0.7348842384343615,1.8575214281243608,1.175212590695662,0.7532981015700662,1.402508526636427,0.8281741398591176,0.6787917996283535,1.000000000000006,2.621933279057377,45.12626875598511,25.57197228745606,6.154951203367566,0.7863512391167601,0.6940432025688292,2.162577705409837,-0.9767381743685322,-3.0387437645995865,-4.268138370126291,0.4247411128943961,5.023786942628021,0.9198091659467276,-4.0387437645995865,-0.2651157615656385,-0.3212082003716465,0.4804406183241087,1.9217624732964351,-0.1407402673344644,0.07368578578127355,-0.0451181119374139
157,1.4338382392880669,3.9063606886120015,1.482801452928747,0.8704333100319894,1.7296723736288768,1.1891376049179943,0.8082715771032252,1.433838239288073,0.8145262334198287,0.8021612546852105,1.000000000000007,2.4484043587862394,41.37285764393157,24.044979664394077,5.425418455438702,0.7689491160512065,0.749186258889261,1.931205811714986,-0.7590432112572221,-2.5559423116708397,-3.8043507188594266,0.4576996418145286,4.3728085203648455,0.7830217757100653,-3.5559423116708397,-0.1295666899680106,-0.1978387453147895,0.4637876512669242,1.855150605067697,0.08252591928450033,0.03723464512896725,0.07943515660763723
158,1.397017666038628,3.88345397732679,1.4205002140209562,0.8309558925318425,1.730597758179243,1.188085372038507,0.8709156118031206,1.3970176660386342,0.8155575268650173,1.001673234893705,1.000000000000008,2.2615006420628667,35.6300974946761,20.48773320286415,5.430698888184832,0.7370919269142098,0.7450194166864926,1.682000856083824,-0.5109728338456366,-2.135442097649884,-3.4186581127075852,0.4189647851693056,4.3390240694191196,0.7840118568499644,-3.1354420976498836,-0.1690441074681574,0.0016732348937049109,0.3856926061518949,1.54277042460758,-0.0653907554937489,-0.1005926075510989,0.014662485138355559
159,1.303307496614043,2.4669810470509512,1.258704871002823,1.030953750347019,1.3585053002088732,1.1534229169742418,0.9490366628983028,1.3033074966140479,0.8495301990735105,1.056838146919914,1.000000000000008,1.7761146130084682,24.35207914462551,15.33993970941683,3.307463527407732,0.7652707429283545,0.6077560946320062,1.034819484011291,-0.2016134715087153,-1.8767372266470617,-3.1291646754625138,0.3203826703752034,2.249908803896489,0.3859052267042585,-2.8767372266470623,0.0309537503470193,0.056838146919914276,0.2894934372451156,1.157973748980462,0.1661890363215452,-0.0560015294730613,-0.0190606476764004
160,1.188910071570261,1.3648220916350209,1.095943467984386,1.136388517093797,1.077137106190632,1.107571610119064,1.0297056721741429,1.1889100715702647,0.8944690649222813,1.170633670877679,1.000000000000007,1.2878304039531592,11.91295947766588,8.930927506305641,1.701919297362919,0.8117518847809052,0.4261849194855003,0.3837738719375456,0.1178358052236105,-1.780793758662675,-2.9824352655058215,0.2000377797719302,0.6243661976262036,0.08486568357085562,-2.780793758662675,0.13638851709379698,0.1706336708776792,0.14672940995672198,0.5869176398268877,0.1116255168161814,-0.1422145974177219,-0.0848653398393705
161,1.290934914116467,2.4567031371374397,1.2382678208921631,1.018259338508162,1.3581047504490573,1.1352840311251151,0.9516934854983432,1.2909349141164679,0.8673081210942647,1.0777754425167372,1.000000000000006,1.714803462676489,22.32752840230523,14.01472634305569,3.305177908885845,0.8153194713877984,0.5359261066694615,0.9530712835686524,-0.1910924540125549,-1.542525937770512,-2.740269449874769,0.3073668434317085,2.2347502095887215,0.3854766732314031,-2.542525937770512,0.0182593385081619,0.0777754425167369,0.242165815631066,0.9686632625242642,-0.09085147516687568,0.007541392922103277,0.1247822876656884
162,1.011833517284198,1.79729904131002,1.1143589022113258,0.8264862629488653,1.23119269134187,1.0628981925405092,0.98789515282428,1.011833517284202,0.9382534814910264,1.0623381514137449,1.000000000000006,1.343076706633978,11.30025639019974,7.383441539806116,2.58099184750948,0.7938607704192215,0.2492781858744205,0.4574356088453048,-0.04773385140184522,-1.428167035559186,-2.649356622754461,0.01375510299135982,1.2622140366080319,0.2496917867233354,-2.428167035559186,-0.1735137370511347,0.06233815141374462,0.090912827120334,0.3636513084813359,-0.1881212078576642,-0.02345043015537611,-0.1028198253845188
