,exo_states,endo_states,controls,valid,mean_pval,max_pval,min_pval,loglik,bic,aic,mse,nstates,nexo,nendo
63195,"['rm', 'y', 'z', 'u']","['pi', 'k', 'c']","['g', 'i', 'w', 'rk', 'l']",True,0.4609077711071828,0.999793394712936,0.00028985906312083474,3743.852944147685,-6471.07570905103,-7023.70588829537,0.008744567067823015,7,4,3
42895,"['y', 'z', 'u']","['pi', 'rm', 'k', 'c']","['g', 'i', 'w', 'rk', 'l']",True,0.47594429341017175,0.9948444130285035,0.0002459033409711305,3759.5208781747133,-6388.478884603565,-7003.041756349427,0.0016993106198810548,7,3,4
