labobs,robs,pinfobs,dy,dc,dinve,dw,ewma,epinfma,zcapf,rkf,kf,pkf,cf,invef,yf,labf,wf,rrf,mc,zcap,rk,k,pk,c,inve,y,lab,pinf,w,r,a,b,g,qs,ms,spinf,sw,kpf,kp
0.014408,0.026469,-0.0021575,-0.038194,0.0048576,-0.19163,-0.0064367,-9.8483E-199,-4.7013E-19,-0.44918,-0.25233,0.29619,-0.15541,-0.015097,0.92901,0.073116,-0.020182,0.064044,0.022602,0.028981,-0.46577,-0.26165,0.3788,-0.22104,0.091091,0.98247,0.14698,0.014408,-0.0021575,0.10274,0.026469,-6.9708E-17,-2.5134E-18,3.5108E-17,0.0025645,-4.1304E-18,1.0754E-16,4.9956E-17,0.75137,0.84919
-0.0051344,0.01978,-0.004204,-0.031011,0.0052272,-0.16251,-0.0063274,-4.2676E-215,-2.6868E-19,-0.45561,-0.25594,0.29576,-0.12869,0.013366,0.80352,0.066385,-0.025136,0.06496,0.016383,0.021714,-0.48529,-0.27261,0.3639,-0.18761,0.096318,0.81996,0.11597,-0.0051344,-0.004204,0.096417,0.01978,-6.9613E-17,-9.8722E-19,3.3556E-17,0.0015696,-3.6286E-18,1.1099E-16,4.8747E-17,0.75323,0.84861
-0.020228,0.013903,-0.005761,-0.024691,0.0055097,-0.13658,-0.005984,-1.8493E-231,-1.0557E-19,-0.45884,-0.25776,0.29439,-0.10744,0.038096,0.69479,0.06107,-0.028785,0.065421,0.011675,0.015448,-0.49842,-0.27999,0.35019,-0.15812,0.10183,0.68338,0.091278,-0.020228,-0.005761,0.090433,0.013903,-6.9276E-17,1.4251E-19,3.2086E-17,0.0009607,-3.1891E-18,1.1365E-16,4.7062E-17,0.75166,0.84385
-0.031559,0.0088356,-0.0068925,-0.019281,0.0056607,-0.11399,-0.0055014,-8.0137E-248,2.5061E-20,-0.45949,-0.25812,0.29218,-0.090329,0.059272,0.60075,0.056773,-0.031455,0.065513,0.008081,0.010182,-0.50615,-0.28433,0.3377,-0.13241,0.10749,0.56939,0.071997,-0.031559,-0.0068925,0.084932,0.0088356,-6.8738E-17,9.7437E-19,3.0716E-17,0.00058801,-2.8075E-18,1.1566E-16,4.5011E-17,0.74726,0.83574
-0.039779,0.004541,-0.0076633,-0.014757,0.0056615,-0.094644,-0.004951,-3.4726E-264,1.2852E-19,-0.45803,-0.2573,0.28922,-0.076391,0.077167,0.51949,0.053214,-0.033383,0.065305,0.0053096,0.0058647,-0.50939,-0.28615,0.32635,-0.11022,0.11315,0.47475,0.057239,-0.039779,-0.0076633,0.079981,0.004541,-6.8032E-17,1.5812E-18,2.9452E-17,0.0003599,-2.478E-18,1.1711E-16,4.2682E-17,0.7405,0.82499
-0.045472,0.00096025,-0.0081361,-0.011052,0.0055119,-0.07828,-0.0043843,-1.5048E-280,2.0947E-19,-0.45487,-0.25552,0.28563,-0.064911,0.092101,0.44932,0.050196,-0.034742,0.064854,0.0031501,0.0024166,-0.50896,-0.28591,0.31603,-0.091237,0.11866,0.39647,0.046187,-0.045472,-0.0081361,0.075596,0.00096025,-6.7186E-17,2.0177E-18,2.8295E-17,0.00022028,-2.1943E-18,1.1811E-16,4.015E-17,0.73182,0.81219
-0.049156,-0.0019772,-0.0083689,-0.0080761,0.0052246,-0.064579,-0.0038368,-6.5208E-297,2.7198E-19,-0.45031,-0.25296,0.28151,-0.055363,0.1044,0.38873,0.047583,-0.03566,0.064205,0.001451,-0.00025934,-0.50558,-0.28401,0.30661,-0.075146,0.12389,0.33189,0.038111,-0.049156,-0.0083689,0.07176,-0.0019772,-6.6223E-17,2.3253E-18,2.7242E-17,0.00013483,-1.9504E-18,1.1874E-16,3.7475E-17,0.72157,0.79783
-0.051273,-0.0043461,-0.0084134,-0.0057343,0.0048196,-0.053201,-0.0033311,-2.8257e-313,3.1948E-19,-0.44463,-0.24977,0.27694,-0.047359,0.11438,0.33642,0.045279,-0.036232,0.063395,0.00010284,-0.0022669,-0.49987,-0.2808,0.29796,-0.061613,0.12871,0.27869,0.032377,-0.051273,-0.0084134,0.068428,-0.0043461,-6.5165E-17,2.5359E-18,2.6286E-17,8.2523E-05,-1.7406E-18,1.1906E-16,3.4705E-17,0.71004,0.78229
-0.052193,-0.0062211,-0.0083151,-0.0039307,0.004321,-0.043816,-0.0028804,0,3.5488E-19,-0.43804,-0.24607,0.272,-0.040605,0.12235,0.29125,0.043216,-0.036531,0.062456,-0.00097369,-0.0037096,-0.49235,-0.27658,0.28994,-0.050319,0.13303,0.23487,0.028446,-0.052193,-0.0083151,0.065548,-0.0062211,-6.4029E-17,2.6739E-18,2.5419E-17,5.0509E-05,-1.56E-18,1.1914E-16,3.188E-17,0.6975,0.7659
-0.052223,-0.0076734,-0.0081124,-0.0025749,0.003754,-0.036119,-0.0024905,0,3.8062E-19,-0.43073,-0.24197,0.26677,-0.034874,0.12857,0.25225,0.041345,-0.036611,0.061414,-0.0018368,-0.004686,-0.48347,-0.27159,0.28243,-0.040961,0.13678,0.19875,0.025871,-0.052223,-0.0081124,0.063058,-0.0076734,-6.2831E-17,2.7579E-18,2.4632E-17,3.0915E-05,-1.4043E-18,1.19E-16,2.903E-17,0.68417,0.74891
