,exo_states,endo_states,controls,valid,mean_pval,max_pval,min_pval,loglik,bic,aic,mse,nstates,nexo,nendo
10532,"['nu', 'a', 'z']",['p'],"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'w_real', 'mu']",True,0.9746453203853274,1.0,0.01515671856212761,28426392.79053705,-56850874.43544692,-56852453.5810741,2.063156315351442,4,3,1
11425,"['nu', 'a', 'z', 'p']",[],"['pi', 'y', 'r_nat', 'r_real', 'i', 'n', 'm_real', 'w_real', 'mu']",True,0.9890551204348055,1.0,0.3188550293815918,27640572.977664184,-55279395.990657695,-55280841.95532837,2.598808916481717,4,4,0
