,aic,bic,controls,endo_states,exo_states,loglik,max_pval,mean_pval,min_pval,mse,nendo,nexo,nstates,total_valid,true_index,true_valid,valid
462,-11913.741574787653,-11684.4865984207,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6044.8707873938265,1.0,0.9869924677560185,0.3725419147675273,1.54865643446504,1.0,2.0,3.0,5.0,0.0,1.0,1.0
463,-19988.77026986147,-19759.515293494518,"['y', 'z', 'g', 'r', 'w', 'i']",['k'],"['c', 'l']",10082.385134930735,1.0,0.964613446911678,0.0016171880560834372,0.08070617226414081,1.0,2.0,3.0,6.0,1.0,1.0,1.0
464,-11992.156358086859,-11762.901381719907,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6084.078179043429,1.0,0.9756746414002327,0.1119499687061215,1.5124229515535794,1.0,2.0,3.0,6.0,0.0,1.0,1.0
465,-11945.373565605189,-11716.118589238236,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6060.686782802594,1.0,0.9732912873691557,0.02415397904526949,1.4276133387455292,1.0,2.0,3.0,5.0,0.0,1.0,1.0
466,-11945.841043525892,-11716.58606715894,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6060.920521762946,1.0,0.9967177742687442,0.8901443447747023,1.5164173504127572,1.0,2.0,3.0,5.0,0.0,1.0,1.0
467,-11937.805831152556,-11708.550854785604,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6056.902915576278,1.0,0.9691314694389994,0.026377123719728605,1.530162384413174,1.0,2.0,3.0,5.0,0.0,1.0,1.0
468,-11983.963714679874,-11754.708738312922,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6079.981857339937,1.0,0.9860986995507839,0.10025602707187403,1.2855323648606662,1.0,2.0,3.0,5.0,0.0,1.0,1.0
469,-11989.693235342373,-11760.43825897542,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6082.846617671186,1.0,0.9869671515735707,0.44119080122073545,1.2350698557274564,1.0,2.0,3.0,4.0,0.0,1.0,1.0
470,-11959.874176450387,-11730.619200083434,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6067.937088225193,1.0,0.9769116397966562,0.18878812927760788,1.7091352733292808,1.0,2.0,3.0,6.0,0.0,1.0,1.0
471,-11947.205135616681,-11717.950159249729,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6061.602567808341,1.0,0.9720105661224159,0.12404730113282247,1.4834438448949283,1.0,2.0,3.0,6.0,0.0,1.0,1.0
472,-11960.778890457936,-11731.523914090983,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6068.389445228968,1.0,0.9924204147463401,0.7565004112150964,1.3816952088180474,1.0,2.0,3.0,5.0,0.0,1.0,1.0
473,-11941.413616958016,-11712.158640591064,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6058.706808479008,1.0,0.9734727657225479,0.07140389598482974,1.5532425768669786,1.0,2.0,3.0,6.0,0.0,1.0,1.0
474,-11956.465133703992,-11727.21015733704,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6066.232566851996,1.0,0.9849067334969556,0.0439053492024078,1.516948395798716,1.0,2.0,3.0,5.0,0.0,1.0,1.0
475,-11990.205408594073,-11760.95043222712,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6083.102704297036,1.0,0.97430212788004,0.08614948215385845,1.4137547452114332,1.0,2.0,3.0,5.0,0.0,1.0,1.0
476,-11923.41130092876,-11694.156324561807,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6049.70565046438,1.0,0.9857612227884335,0.45928976510429936,1.5158487791817237,1.0,2.0,3.0,5.0,0.0,1.0,1.0
477,-11932.900535765792,-11703.64555939884,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6054.450267882896,1.0,0.9727995667306377,0.014347844801171544,1.5867808403736765,1.0,2.0,3.0,5.0,0.0,1.0,1.0
478,-11925.610891477629,-11696.355915110677,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6050.805445738814,1.0,0.9797354988308454,0.19212327594127454,1.454340440416882,1.0,2.0,3.0,5.0,0.0,1.0,1.0
