index,exostates,endostates,wins,valid
1,g   z,k,955,958
2,g   w,k,18,810
3,g   y,k,12,766
4,g   r,k,5,493
5,c   l,k,3,3
6,g   i,k,2,927
7,c   g,k,0,30
