index, exostates,endostates,wins,valid
1,g   i   k,,160,1000
2,g   k   y,,126,1000
3,g   k   z,,114,1000
4,g   k   r,,66,1000
5,c   k   r,,63,1000
6,c   k   l,,52,1000
7,k   l   z,,50,1000
8,g   i   k,z,33,1000
9,i   k   l,,32,1000
10,g   i   k,y,29,1000
